Rank	Team	Power Rating	Gender Division	Competition Division	City	State	Club Region	Club Section	Wins	Losses
126	Nomads	786	Men	Classic	Sioux Falls	SD	North Central	Northwest Plains	11	20
127	Carolina Summer	767	Men	 	Greenville	SC	Southeast	East Coast	9	11
128	Carbon	758	Men	 	Broomfield	CO	South Central	Rocky Mountain	9	14
129	Sundance Kids	752	Men	Classic	Provo	UT	Northwest	Big Sky	4	7
130	Pittsburgh Stealers	752	Men	Classic	Pittsburgh	PA	Mid-Atlantic	Founders	10	8
131	STL Moonar	751	Men	Classic	St. Louis	MO	North Central	West Plains	10	11
132	AVE	750	Men	 	Seattle	WA	Northwest	Washington/BC	3	9
133	Odyssey	732	Men	Classic	Medford	MA	Northeast	East New England	14	17
134	Cookie Mon$terz	732	Men	Select	$	MS	Southeast	Gulf Coast	13	15
135	El Niño	717	Men	Classic	Fort Lauderdale	FL	Southeast	Florida	11	7
136	Rawhide	716	Men	Classic	Tulsa	OK	South Central	Ozarks	15	10
137	SUPA FC	714	Men	Classic	Stewartstown	PA	Mid-Atlantic	Founders	9	11
138	MOB Ultimate	707	Men	Classic	Baltimore	MD	Mid-Atlantic	Capital	14	20
139	Bomb Squad	701	Men	Classic	Baltimore	MD	Mid-Atlantic	Capital	12	11
140	Scoop	701	Men	Classic	Akron/Cleveland	OH	Great Lakes	East Plains	11	15
141	CITYWIDE Special	698	Men	Select	Philadelphia	PA	Mid-Atlantic	Founders	10	15
142	Bloom	695	Men	Classic	Orlando	FL	Southeast	Florida	16	15
143	Nocturnal	692	Men	Classic	Nashville	TN	Southeast	East Coast	7	12
144	Timber	689	Men	Classic	Stevens Point & Fox Cities	WI	North Central	Northwest Plains	12	19
145	Battery	685	Men	Classic	San Francisco	CA	Southwest	NorCal	8	16
146	Alibi	680	Men	Classic	Albany	NY	Northeast	Upstate NY	16	16
147	Fat Stacks	676	Men	Classic	St George	UT	Northwest	Big Sky	6	10
148	Roundhouse	675	Men	Classic	Chicago	IL	Great Lakes	Central Plains	8	10
149	DAPPER	668	Men	 	Rochester	NY	Northeast	Upstate NY	10	10
150	Hazard	667	Men	Select	Pittsburgh	PA	Mid-Atlantic	Founders	11	13
151	Void	665	Men	Classic	Milwaukee	WI	North Central	Northwest Plains	11	14
152	Sonoran Dog	658	Men	 	Tucson	AZ	Southwest	So Cal	8	15
153	Trident II	657	Men	Classic	Chicago	IL	Great Lakes	Central Plains	8	10
154	Hydra	657	Men	 	Winston-Salem	NC	Southeast	North Carolina	10	7
155	Bay Dog	654	Men	Classic	Albany	CA	Southwest	NorCal	7	8
156	Winc City Fog	653	Men	 	Winchester	VA	Mid-Atlantic	Capital	8	12
157	Space Cowboys	639	Men	Classic	Greenville	SC	Southeast	East Coast	10	9
158	UpRoar	630	Men	Classic	Tampa Bay	FL	Southeast	Florida	8	10
159	NC Brickhouse	628	Men	Classic	Raleigh	NC	Southeast	North Carolina	10	14
160	San Antonio Warhawks	600	Men	 	San Antonio	TX	South Central	Texas	9	15
161	Forge	596	Men	Classic	Austin	TX	South Central	Texas	5	13
162	Psychedelic	589	Men	 	Jacksonville	FL	Southeast	Florida	9	9
163	Alliance 2	570	Men	Classic	Alabama	AL	Southeast	Gulf Coast	9	10
164	Dyno	568	Men	Classic	Atlanta	GA	Southeast	East Coast	10	8
165	Firefly TX	565	Men	Classic	Houston	TX	South Central	Texas	10	15
166	On Ramp	552	Men	Classic	Indianapolis	IN	Great Lakes	Central Plains	7	16
167	Diesel	526	Men	Classic	Ann Arbor	MI	Great Lakes	East Plains	9	20
168	Dallas Delinquents	524	Men	Classic	Dallas	TX	South Central	Texas	9	14
169	Choice City Hops	520	Men	Classic	Fort Collins	CO	South Central	Rocky Mountain	5	18
170	Queen City Kings	519	Men	Classic	Charlotte	NC	Southeast	North Carolina	9	18
171	Green Mountain Boys	509	Men	Classic	South Burlington	VT	Northeast	East New England	6	5
