Rank	Team	Power Rating	Gender Division	Competition Division	City	State	Club Region	Club Section	Wins	Losses
73	Catalyst	1129	Mixed	Classic	Charlotte	NC	Southeast	North Carolina	16	15
74	Fatal Attraction	1122	Mixed	 	Omaha	NE	North Central	West Plains	18	11
75	Octonauts	1118	Mixed	 	Culver City	CA	Southwest	So Cal	15	10
76	PBHG	1118	Mixed	 	Winnipeg	Manitoba	North Central	Northwest Plains	12	3
77	No Touching!	1118	Mixed	Classic	Twin Cities	MN	North Central	Northwest Plains	16	5
78	Deadweight	1110	Mixed	 	Hartford	CT	Northeast	Metro NY	12	8
79	RAMP	1109	Mixed	Select	Chicago	IL	Great Lakes	Central Plains	11	17
80	Jughandle	1097	Mixed	Select	Princeton	NJ	Mid-Atlantic	Founders	17	10
81	Minnesota Star Power	1092	Mixed	Classic	Minneapolis/ St. Paul	MN	North Central	Northwest Plains	14	12
82	FLI	1086	Mixed	Classic	Long Island	NY	Northeast	Metro NY	15	8
83	Bench	1080	Mixed	Classic	albany	NY	Northeast	Upstate NY	19	14
84	PS	1077	Mixed	Classic	Allentown	PA	Mid-Atlantic	Founders	21	12
85	League of Shadows	1070	Mixed	Classic	Boston	MA	Northeast	East New England	14	12
86	Bird	1066	Mixed	Classic	Minneapolis	MN	North Central	Northwest Plains	23	8
87	Green Chiles	1060	Mixed	Classic	Denver	CO	South Central	Rocky Mountain	10	13
88	HVAC	1042	Mixed	Classic	Washington DC	DC	Mid-Atlantic	Capital	14	12
89	Scarecrow	1042	Mixed	Classic	Manchester	NH	Northeast	East New England	15	11
90	Quick Draw	1029	Mixed	Classic	Logan	UT	Northwest	Big Sky	10	7
91	Oasis Ultimate	1010	Mixed	Classic	Tampa	FL	Southeast	Florida	9	12
92	Heat Wave	1009	Mixed	Classic	Brooklyn	NY	Northeast	Metro NY	15	12
93	Robot	989	Mixed	Classic	Santa Barbara	CA	Southwest	So Cal	10	9
94	Brackish	983	Mixed	Classic	Hampton	VA	Mid-Atlantic	Capital	17	8
95	Seattle Soft Serve	981	Mixed	Classic	Central District	WA	Northwest	Washington/BC	7	16
96	Karma	976	Mixed	Classic	Tucson	AZ	Southwest	So Cal	15	9
97	Impact	965	Mixed	Top Select	Wichita	KS	North Central	West Plains	15	8
98	Mashed	961	Mixed	Classic	Syracuse	NY	Northeast	Upstate NY	18	14
99	Ant Madness	956	Mixed	Classic	Washington	DC	Mid-Atlantic	Capital	19	14
100	Hive	946	Mixed	Classic	Portland	OR	Northwest	Oregon	16	13
101	Farm Show	934	Mixed	Classic	Harrisburg	PA	Mid-Atlantic	Founders	13	19
102	Nice!	924	Mixed	Classic	Somerville	MA	Northeast	East New England	10	9
103	Pegasus	923	Mixed	Classic	Seattle	WA	Northwest	Washington/BC	9	15
104	Shipwreck	923	Mixed	Classic	San Diego	CA	Southwest	So Cal	9	11
105	Igneous Ultimate	923	Mixed	Classic	Bend	OR	Northwest	Oregon	14	14
106	Twist	922	Mixed	 	Ann Arbor	MI	Great Lakes	East Plains	16	7
107	Risky Business	921	Mixed	Classic	Dallas	TX	South Central	Texas	13	8
108	Barefoot	904	Mixed	Classic	Tupelo	MS	Southeast	Gulf Coast	13	12
109	Queen City Gambit	904	Mixed	Classic	Cincinnati	OH	Great Lakes	East Plains	24	7
110	BUMS	901	Mixed	Classic	Birmingham	AL	Southeast	Gulf Coast	10	8
111	Three Rivers Ultimate Club	891	Mixed	Classic	Fort Wayne	IN	Great Lakes	Central Plains	14	8
112	Mad Udderburn	873	Mixed	Select	Madison	WI	North Central	Northwest Plains	14	17
113	Firefly	873	Mixed	Classic	San Francisco	CA	Southwest	NorCal	16	15
114	Legion	860	Mixed	Classic	Lynchburg	VA	Mid-Atlantic	Capital	14	11
115	Pushovers	856	Mixed	Classic	Lake Elmo	MN	North Central	Northwest Plains	17	13
116	Axolotls	853	Mixed	Classic	Hoboken	NJ	Mid-Atlantic	Founders	14	17
117	The Strangers	852	Mixed	Classic	Westminster	CO	South Central	Rocky Mountain	10	12
118	Northern Comfort	852	Mixed	Classic	Milwaukee	WI	North Central	Northwest Plains	12	12
119	B-Unit	851	Mixed	 	Gainesville	FL	Southeast	Florida	7	10
120	Family Style	836	Mixed	Classic	Los Angeles	CA	Southwest	So Cal	11	13
121	Spectre	835	Mixed	Select	Indianapolis	IN	Great Lakes	Central Plains	12	13
122	Bullet Train	835	Mixed	Select	Seattle	WA	Northwest	Washington/BC	9	17
123	MoonPi	831	Mixed	Classic	Chattanooga	TN	Southeast	East Coast	11	14
124	Sin Nombre	830	Mixed	 	Albuquerque	NM	South Central	Rocky Mountain	9	14
125	Columbus Chaos	828	Mixed	 	Columbus	OH	Great Lakes	East Plains	17	8
126	Flagstaff Ultimate	817	Mixed	Classic	Flagstaff	AZ	Southwest	So Cal	5	13
127	Magnanimouse	806	Mixed	Classic	Durham	NC	Southeast	North Carolina	8	9
128	Mango	798	Mixed	 	San Francisco	CA	Southwest	NorCal	9	12
129	Trex Mix	798	Mixed	Select	Dublin	OH	Great Lakes	East Plains	16	13
130	Moontower	797	Mixed	Classic	Austin	TX	South Central	Texas	9	14
131	Fusion	793	Mixed	Classic	Los Angeles	CA	Southwest	So Cal	8	4
132	Low Oxygen	784	Mixed	 	Colorado Springs	CO	South Central	Rocky Mountain	4	8
133	Memphis STAX	776	Mixed	Classic	Memphis	TN	Southeast	Gulf Coast	11	13
134	Amber	767	Mixed	Classic	Baton Rouge	LA	Southeast	Gulf Coast	12	13
135	Squid Inc.	762	Mixed	Classic	Bellingham	WA	Northwest	Washington/BC	9	10
136	Delabear	761	Mixed	Classic	Wilmington	DE	Mid-Atlantic	Founders	12	12
137	Heavy Flow	760	Mixed	Classic	Columbia	MD	Mid-Atlantic	Capital	13	16
138	Quahogs	756	Mixed	Classic	Providence	RI	Northeast	East New England	13	10
139	Lampshade	749	Mixed	Classic	Cambridge	MA	Northeast	East New England	8	17
140	Choco Ghost House	740	Mixed	Classic	Portland	OR	Northwest	Oregon	5	9
141	Garbage Pla(C)e	739	Mixed	Classic	ROCHESTER	NY	Northeast	Upstate NY	10	12
142	Garbage	735	Mixed	Classic	Seattle	WA	Northwest	Washington/BC	7	11
143	Cutthroat	731	Mixed	Select	Reno	NV	Southwest	NorCal	6	13
144	Arms Race	728	Mixed	Classic	Iowa City	IA	North Central	West Plains	8	5
145	Carolina Reapers	718	Mixed	 	Winston-Salem	NC	Southeast	North Carolina	6	14
146	DR	717	Mixed	Classic	Berkeley	CA	Southwest	NorCal	13	11
147	Verdant	713	Mixed	 	Greenville	SC	Southeast	East Coast	7	12
148	T Party	711	Mixed	Classic	Boston	MA	Northeast	East New England	10	10
149	Spoiler Alert	706	Mixed	Classic	Los Angeles	CA	Southwest	So Cal	9	9
150	District Cocktails	701	Mixed	Classic	Washington	DC	Mid-Atlantic	Capital	12	13
151	Holler!	679	Mixed	 	Knoxville	TN	Southeast	East Coast	8	11
152	Heat Wave	672	Mixed	Classic	Richland	WA	Northwest	Washington/BC	4	6
153	Jabba	656	Mixed	Classic	Chicago	IL	Great Lakes	Central Plains	13	11
154	NY Swipes	634	Mixed	Classic	New York	NY	Northeast	Metro NY	5	13
155	ConSTLation	621	Mixed	Classic	St. Louis	MO	North Central	West Plains	15	16
156	VU	619	Mixed	Classic	San Francisco	CA	Southwest	NorCal	12	14
157	Garage Sale	612	Mixed	Select	Eugene	OR	Northwest	Oregon	3	11
158	BOP	605	Mixed	Classic	Seattle	WA	Northwest	Washington/BC	5	8
159	All Jeeps, All Night.	604	Mixed	Classic	Boulder	CO	South Central	Rocky Mountain	5	17
160	Flux	599	Mixed	Classic	Northeast	FL	Southeast	Florida	7	13
161	Mousetrap	598	Mixed	Classic	Madison	WI	North Central	Northwest Plains	12	8
162	Toast!	596	Mixed	Classic	BATTLE CREEK	MI	Great Lakes	East Plains	16	16
163	Skyhawks	594	Mixed	Classic	South Bend	IN	Great Lakes	Central Plains	13	20
164	Goosebumps	591	Mixed	 	Houston	TX	South Central	Texas	7	12
165	Espionage	588	Mixed	Classic	Washington	DC	Mid-Atlantic	Capital	10	16
166	Pandamonium	581	Mixed	Classic	Twin Cities	MN	North Central	Northwest Plains	9	12
167	Brooklyn Hive	566	Mixed	Classic	New York	NY	Northeast	Metro NY	12	22
168	Madison United Mixed Ultimate	565	Mixed	Classic	Madison	WI	North Central	Northwest Plains	8	15
169	Philly Twist	562	Mixed	Classic	Philadelphia	PA	Mid-Atlantic	Founders	9	23
170	Traffic Jam	556	Mixed	 	Houston	TX	South Central	Texas	4	8
171	Prion	547	Mixed	Classic	Champaign	IL	Great Lakes	Central Plains	9	15
172	Stackcats	544	Mixed	Classic	Chicago	IL	Great Lakes	Central Plains	12	14
173	Crucible	535	Mixed	Classic	Pittsburgh	PA	Mid-Atlantic	Founders	11	12
174	Bozos	514	Mixed	Classic	Bozeman	MT	Northwest	Big Sky	4	13
175	Scoober Heroes	513	Mixed	Classic	Hurst	TX	South Central	Texas	8	11
176	Indiana Pterodactyl Attack (IPA)	506	Mixed	Classic	Clarksville	IN	Great Lakes	Central Plains	8	10
177	Boomtown Pandas	500	Mixed	Classic	Madison	WI	North Central	Northwest Plains	8	14
178	Point of No Return	494	Mixed	Classic	Stevens Point	WI	North Central	Northwest Plains	9	11
179	New Orleans Boil	492	Mixed	 	New Orleans	LA	Southeast	Gulf Coast	7	16
180	Starfire	492	Mixed	 	Westbury	NY	Northeast	Metro NY	12	10
181	Rainbow	474	Mixed	Classic	Somerville	MA	Northeast	East New England	10	19
182	Birds of Paradise	466	Mixed	 	San Diego	CA	Southwest	So Cal	7	11
183	SWAG	459	Mixed	 	Tallahassee	FL	Southeast	Florida	2	9
184	Drip	447	Mixed	Classic	Corvallis	OR	Northwest	Oregon	3	16
185	solAR	439	Mixed	Select	Little Rock	AR	South Central	Ozarks	6	13
186	Capital City Croissants	425	Mixed	 	Montgomery	AL	Southeast	Gulf Coast	3	12
187	Spice	402	Mixed	Classic	Charlottesville	VA	Mid-Atlantic	Capital	2	15
188	ColorBomb	402	Mixed	Classic	Philadelphia	PA	Mid-Atlantic	Founders	5	23
189	Replay	397	Mixed	Classic	Boston	MA	Northeast	East New England	8	14
190	Lobster Disque	389	Mixed	Classic	Portland	ME	Northeast	East New England	7	11
191	Mola Mola	378	Mixed	Classic	Vancouver	BC	Northwest	Washington/BC	2	9
192	ELevate	371	Mixed	Classic	Chicago	IL	Great Lakes	Central Plains	7	18
193	Buffalo Brain Freeze	368	Mixed	Classic	Buffalo	NY	Northeast	Upstate NY	8	19
194	POW!	358	Mixed	Classic	East Lansing	MI	Great Lakes	East Plains	7	12
195	Air Throwmads	353	Mixed	Classic	San Mateo	CA	Southwest	NorCal	7	19
196	Compost Plates	350	Mixed	Classic	Rochester	NY	Northeast	Upstate NY	1	17
197	Pixel	339	Mixed	Classic	Detroit	MI	Great Lakes	East Plains	5	13
198	The Force	336	Mixed	Classic	Minneapolis	MN	North Central	Northwest Plains	6	12
199	Lightning	334	Mixed	 	Lexington	KY	Great Lakes	East Plains	3	9
200	Tempo	321	Mixed	Classic	Nashville	TN	Southeast	East Coast	1	10
201	Rampage	312	Mixed	Classic	Raleigh	NC	Southeast	North Carolina	1	17
202	UV Rays	302	Mixed	Classic	West Lebanon	NH	Northeast	West New England	4	14
203	Great Minnesota Get Together	272	Mixed	Classic	Falcon Heights	MN	North Central	Northwest Plains	7	9
204	Melt	272	Mixed	Classic	Saint Paul	MN	North Central	Northwest Plains	8	10
205	Taproot	268	Mixed	Classic	northampton	MA	Northeast	West New England	4	12
206	Sky-90	246	Mixed	Classic	Missoula	MT	Northwest	Big Sky	0	11
207	Hartford Current	232	Mixed	Classic	Hartford	CT	Northeast	Metro NY	4	16
208	Erosion	225	Mixed	 	Costa Mesa	CA	Southwest	So Cal	3	13
209	Thunderpants the Magic Dragon	224	Mixed	Classic	Dayton	OH	Great Lakes	East Plains	6	11
210	Sugar Shack	217	Mixed	Classic	Burlington	VT	Northeast	West New England	2	8
211	OUtlaws	181	Mixed	Classic	Athens	OH	Great Lakes	East Plains	3	9
212	QCO	180	Mixed	Classic	Springfield	MO	North Central	West Plains	2	9
213	Mastodon	179	Mixed	Classic	Madison	WI	North Central	Northwest Plains	6	12
214	Voltage	179	Mixed	Classic	Baltimore	MD	Mid-Atlantic	Capital	2	15
215	Frostbite	158	Mixed	 	Milwaukee	WI	North Central	Northwest Plains	6	11
216	Quails	148	Mixed	 	Sacramento	CA	Southwest	NorCal	3	15
217	I-70 United	135	Mixed	 	Columbia/St. Louis	MO	North Central	West Plains	4	12
218	Moonlight Ultimate	89	Mixed	Classic	San Jose	CA	Southwest	NorCal	1	23
219	JAWN	89	Mixed	Classic	Philadelphia	PA	Mid-Atlantic	Founders	4	13
220	Lake Superior Disc	69	Mixed	Classic	Duluth	MN	North Central	Northwest Plains	5	11
221	Columbus Cohesion	29	Mixed	Classic	Columbus	OH	Great Lakes	East Plains	2	15
222	Lemonade Ultimate	27	Mixed	Recreational	Minneapolis	MN	North Central	Northwest Plains	4	11
223	Limbo	-15	Mixed	 	St. Paul	MN	North Central	Northwest Plains	5	10
224	Mad City Vibes	-53	Mixed	Classic	Madison	WI	North Central	Northwest Plains	2	15
225	yEUTH-ANd-Age-SIA	-77	Mixed	Developmental	Amherst	MA	Northeast	West New England	1	11
226	Giant Six Pack	-300	Mixed	 	La Crosse	WI	North Central	Northwest Plains	0	10
227	Domino Effect	-656	Mixed	Classic	New York	NY	Northeast	Metro NY	0	21
